Player Name, Minutes Played, Games Played, PER, WS, WS48, OWS, DWS, BPM, OBPM, DBPM, VORP, Usage%, TS%, 3PA rate, FTA rate, ORB%, DRB%, TRB%, AST%, STL%, BLK%, TOV% 
Kevin Huerter,1473,54,9.8,0.9,0.03,0.4,0.5,-2.1,-1.1,-1.0,0.0,15.2,0.54,0.551,0.102,2.9,9.9,6.3,14.4,1.5,1.1,15.7
Chandler Hutchison,895,44,8.8,0.6,0.033,0.0,0.6,-4.2,-4.0,-0.2,-0.5,12.3,0.507,0.239,0.182,3.8,18.8,11.3,5.4,1.2,0.6,10.0
Serge Ibaka,1584,55,18.4,4.6,0.14,2.3,2.3,0.9,-0.3,1.1,1.1,22.9,0.581,0.195,0.21,8.0,21.7,15.0,8.4,0.8,3.7,11.2
Andre Iguodala,1176,50,13.8,3.3,0.136,2.0,1.3,2.3,0.7,1.6,1.3,10.4,0.6,0.478,0.235,3.3,13.9,8.9,17.1,1.8,2.8,12.9
Ersan Ilyasova,797,45,11.4,2.0,0.119,0.6,1.4,-0.9,-1.5,0.6,0.2,15.9,0.539,0.417,0.162,8.7,16.7,12.9,6.6,1.5,1.2,12.0
Joe Ingles,1772,57,12.4,3.5,0.094,1.0,2.4,1.2,0.2,1.0,1.4,17.4,0.564,0.574,0.171,1.1,12.1,6.7,23.2,2.0,0.6,17.8
Brandon Ingram,1538,46,12.5,1.3,0.042,0.1,1.3,-3.2,-2.7,-0.5,-0.5,22.7,0.538,0.124,0.387,2.4,12.2,7.4,13.1,0.8,1.4,13.6
Kyrie Irving,1526,47,25.2,6.9,0.218,4.7,2.2,6.9,6.6,0.3,3.4,29.5,0.603,0.345,0.204,3.8,12.1,8.0,35.8,2.4,1.2,12.1
Jonathan Isaac,1379,53,12.7,2.5,0.087,0.4,2.1,0.0,-2.4,2.4,0.7,16.2,0.53,0.4,0.246,5.0,17.2,11.0,5.6,1.6,4.3,11.0
Wesley Iwundu,768,45,8.8,1.1,0.066,0.2,0.8,-3.0,-3.6,0.6,-0.2,14.0,0.531,0.273,0.415,3.2,12.4,7.7,6.8,1.3,1.7,12.2
Frank Jackson,669,44,8.6,0.2,0.016,0.0,0.2,-5.2,-2.3,-2.9,-0.5,17.6,0.513,0.382,0.168,2.2,8.7,5.6,8.4,1.0,0.1,9.9
Jaren Jackson,1515,58,16.6,3.5,0.11,1.2,2.3,0.3,-1.3,1.6,0.9,23.2,0.591,0.241,0.334,5.4,15.3,10.2,7.4,1.7,5.2,12.7
Josh Jackson,1426,59,10.7,-1.4,-0.047,-2.3,0.9,-4.7,-4.4,-0.3,-1.0,24.6,0.488,0.255,0.263,3.9,16.0,9.8,15.0,2.0,2.3,17.2
Justin Jackson,1115,56,10.2,1.7,0.074,1.0,0.7,-1.6,-0.9,-0.8,0.1,13.2,0.545,0.534,0.168,2.3,11.5,6.8,8.1,1.0,1.0,6.5
Reggie Jackson,1629,56,14.3,3.5,0.104,2.2,1.4,-0.3,1.4,-1.7,0.7,22.8,0.544,0.457,0.238,2.2,8.3,5.1,24.4,1.1,0.3,11.6
LeBron James,1363,39,25.7,5.4,0.191,3.5,1.9,7.7,5.8,1.9,3.3,30.7,0.597,0.305,0.388,2.9,22.0,12.7,36.1,1.8,1.5,13.4
Jonas Jerebko,972,53,13.8,2.8,0.137,1.9,0.9,0.3,1.3,-1.0,0.6,14.8,0.604,0.54,0.226,7.1,19.5,13.6,10.6,0.8,0.9,10.4
James Johnson,847,40,10.9,1.1,0.061,0.0,1.1,-1.7,-2.5,0.8,0.1,18.2,0.517,0.376,0.157,2.0,14.2,8.1,16.8,1.6,1.9,15.0
Stanley Johnson,993,51,9.5,0.6,0.03,-0.8,1.5,-2.3,-3.3,1.0,-0.1,18.9,0.475,0.515,0.141,2.9,17.6,10.0,9.2,2.5,1.1,12.7
Tyler Johnson,1209,47,11.7,1.7,0.066,0.4,1.3,-1.2,-1.0,-0.3,0.3,18.9,0.526,0.507,0.21,2.0,9.5,5.8,15.0,1.8,1.5,12.5
Nikola Jokic,1767,56,27.0,8.7,0.236,5.9,2.8,9.7,6.3,3.4,5.2,27.7,0.591,0.236,0.304,9.7,27.2,18.4,38.4,2.2,1.8,15.6
Derrick Jones,668,37,16.6,2.1,0.151,1.0,1.1,0.8,-0.5,1.3,0.5,16.6,0.578,0.256,0.36,10.7,15.1,12.9,4.1,2.2,3.4,9.6
Tyus Jones,873,43,12.6,1.5,0.081,0.8,0.7,-1.9,-1.1,-0.9,0.0,13.5,0.461,0.312,0.16,1.6,7.3,4.4,26.0,3.0,0.3,9.6
DeAndre Jordan,1736,57,18.6,6.3,0.175,3.4,2.9,2.6,-0.9,3.5,2.1,14.5,0.676,0.0,0.608,11.6,35.2,23.6,10.0,1.0,3.0,20.9
Cory Joseph,1493,58,11.8,3.1,0.1,0.8,2.3,0.2,-1.3,1.5,0.8,14.0,0.507,0.335,0.08,2.0,13.6,8.0,20.5,2.1,0.7,13.2
Enes Kanter,1128,44,21.9,3.4,0.146,2.5,0.9,1.1,1.2,-0.1,0.9,22.7,0.585,0.047,0.276,15.3,28.0,21.4,12.9,0.8,1.3,13.1
Luke Kennard,794,38,10.5,1.0,0.063,0.3,0.8,-2.5,-1.8,-0.7,-0.1,18.0,0.527,0.503,0.122,1.1,14.2,7.4,11.1,0.9,0.7,9.3
Michael Kidd-Gilchrist,984,50,14.0,2.2,0.109,1.3,0.9,-0.9,-1.3,0.4,0.3,16.4,0.552,0.132,0.394,8.7,14.5,11.5,6.9,1.3,3.2,10.1
Maxi Kleber,1027,52,13.4,2.5,0.118,1.1,1.4,1.8,-0.7,2.5,1.0,13.9,0.576,0.577,0.19,6.6,15.2,11.0,5.7,1.3,5.0,11.1
Kevin Knox,1437,51,8.2,-1.1,-0.038,-1.6,0.5,-6.3,-3.8,-2.6,-1.6,22.3,0.467,0.406,0.225,2.9,13.3,7.9,5.2,0.9,0.9,10.1
Furkan Korkmaz,654,46,11.7,1.1,0.083,0.4,0.7,-1.9,-0.6,-1.3,0.0,17.8,0.533,0.594,0.179,2.7,14.2,8.6,10.9,2.0,0.2,9.0
Kyle Korver,954,51,12.0,1.7,0.088,1.0,0.7,-1.6,0.3,-1.9,0.1,18.2,0.613,0.704,0.171,0.7,12.2,6.4,8.1,0.8,0.8,10.9
Rodions Kurucs,856,41,11.1,1.0,0.059,0.3,0.8,-3.0,-2.2,-0.8,-0.2,18.4,0.55,0.365,0.189,4.9,13.7,9.3,5.3,1.3,1.1,12.6
